City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Vaini,TO,-21.2,-175.2,77.16,88,40,9.22,scattered clouds
215,Ossora,RU,59.2353,163.0719,31.37,97,100,24.61,snow
216,Dwarka,IN,22.2394,68.9678,81.1,69,89,16.53,overcast clouds
217,Quatre Cocos,MU,-20.2078,57.7625,73.09,76,45,16.58,scattered clouds
218,Praya,CV,14.9215,-23.5087,82.94,51,20,6.91,few clouds
219,Manoel Urbano,BR,-8.8389,-69.2597,87.3,54,99,3.6,overcast clouds
220,Faridkot,IN,30.6667,74.75,73.06,70,100,8.79,overcast clouds
221,Tacuarembo,UY,-31.7333,-55.9833,64.87,60,0,8.97,clear sky
222,Half Moon Bay,US,37.4636,-122.4286,78.21,59,90,1.01,overcast clouds
223,Mineiros,BR,-17.5694,-52.5511,81.64,59,90,4.61,overcast clouds
224,Porecatu,BR,-22.7558,-51.3792,73.47,71,88,3.47,overcast clouds
225,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,75,8.05,broken clouds
226,Mogadishu,SO,2.0371,45.3438,79.09,83,26,11.21,scattered clouds
227,Camopi,GF,3.1655,-52.3158,76.35,89,100,2.57,overcast clouds
228,Cockburn Town,TC,21.4612,-71.1419,82.85,73,50,4.83,scattered clouds
229,Wau,SS,7.7029,27.9953,75.38,75,65,2.1,broken clouds
230,Wum,CM,6.3833,10.0667,66.87,94,98,1.05,light rain
231,Esna,EG,25.2934,32.554,84.15,17,0,9.37,clear sky
232,Urumqi,CN,43.801,87.6005,43.75,49,0,6.71,clear sky
233,Airai,TL,-8.9266,125.4092,61.27,90,8,1.88,clear sky
234,Ambilobe,MG,-13.2,49.05,74.59,63,0,7.9,clear sky
235,Xinzhou,CN,38.4092,112.7333,42.84,57,11,2.48,few clouds
236,Altay,CN,47.8667,88.1167,38.95,45,91,7.85,overcast clouds
237,Sayyan,YE,15.1718,44.3244,59.95,21,6,5.68,clear sky
238,Cherskiy,RU,68.75,161.3,-12.75,100,100,3.74,overcast clouds
239,Changde,CN,29.0464,111.6783,51.76,71,100,2.57,light rain
240,Rio Negro,BR,-26.1058,-49.7975,58.66,99,100,4.38,light rain
241,Nenjiang,CN,49.1833,125.2167,23.85,68,11,3.47,few clouds
242,Pacifica,US,37.6138,-122.4869,78.03,72,75,7.0,broken clouds
243,Esperance,AU,-33.8667,121.9,53.44,90,2,3.98,clear sky
244,Ilam,NP,26.9167,87.9167,66.25,87,100,5.19,overcast clouds
245,Zhuhai,CN,22.2769,113.5678,71.98,78,40,18.41,scattered clouds
246,Cuamba,MZ,-14.8031,36.5372,79.97,45,44,2.95,scattered clouds
247,Berlevag,NO,70.8578,29.0864,39.15,81,75,27.63,light intensity shower rain
248,Huarmey,PE,-10.0681,-78.1522,68.67,76,65,11.34,broken clouds
249,Santa Marta,CO,11.2408,-74.199,81.1,82,90,2.42,overcast clouds
250,Xining,CN,36.6167,101.7667,42.82,76,47,1.86,scattered clouds
251,Chifeng,CN,42.2683,118.9636,39.63,37,100,7.9,overcast clouds
252,Cayenne,GF,4.9333,-52.3333,86.04,79,75,3.0,broken clouds
253,Kholodnyy,RU,62.7167,147.95,-6.75,91,27,8.05,scattered clouds
254,Provideniya,RU,64.3833,-173.3,26.71,63,75,17.9,broken clouds
255,Khatanga,RU,71.9667,102.5,32.83,99,100,12.62,light snow
256,Changji,CN,44.0167,87.3167,47.19,49,0,6.71,clear sky
257,Cururupu,BR,-1.8283,-44.8683,83.53,66,27,5.77,scattered clouds
258,La Verne,US,34.1008,-117.7678,83.64,19,1,10.36,clear sky
259,Narsaq,GL,60.9167,-46.05,37.62,49,33,3.65,scattered clouds
260,Algeciras,ES,36.1333,-5.4505,67.77,62,100,2.13,overcast clouds
261,Sivas,TR,39.7916,37.0019,50.63,81,75,6.91,broken clouds
262,Riyadh,SA,24.6877,46.7219,82.44,18,0,9.44,clear sky
263,Sao Raimundo Nonato,BR,-9.0153,-42.6994,95.4,22,97,9.66,overcast clouds
264,Lac Du Bonnet,CA,50.2536,-96.0612,61.86,34,0,8.28,clear sky
265,San Juan,AR,-31.5375,-68.5364,76.78,14,0,17.78,clear sky
266,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.0,65,98,1.77,overcast clouds
267,Marondera,ZW,-18.1853,31.5519,69.49,44,94,3.98,overcast clouds
268,Kpandu,GH,6.9954,0.2931,77.22,86,100,5.48,light rain
269,Maningrida,AU,-12.0667,134.2667,76.14,90,87,4.29,overcast clouds
270,Ekhabi,RU,53.5102,142.9671,29.91,87,100,23.0,light snow
271,Bitung,ID,1.4451,125.1824,76.05,83,98,2.89,overcast clouds
272,Saldanha,ZA,-33.0117,17.9442,57.99,77,0,14.9,clear sky
273,Alice Springs,AU,-23.7,133.8833,69.35,49,6,8.05,clear sky
274,Karratha,AU,-20.7377,116.8463,68.85,61,6,11.65,clear sky
275,Clyde River,CA,70.4692,-68.5914,28.2,79,95,11.9,overcast clouds
276,Flin Flon,CA,54.7682,-101.865,57.6,41,46,12.39,scattered clouds
277,Portland,US,45.5234,-122.6762,62.46,78,90,3.0,overcast clouds
278,Iqaluit,CA,63.7506,-68.5145,34.7,64,100,13.0,overcast clouds
279,Iquitos,PE,-3.7481,-73.2472,89.64,62,40,4.61,scattered clouds
280,Kikwit,CD,-5.041,18.8162,72.93,91,100,0.02,light rain
281,Mitu,CO,1.1983,-70.1733,83.62,74,95,2.26,overcast clouds
282,Tazovskiy,RU,67.4667,78.7,34.74,93,100,11.54,overcast clouds
283,Trelew,AR,-43.249,-65.3051,60.31,33,1,14.83,clear sky
284,Turukhansk,RU,65.8167,87.9833,35.8,98,100,12.71,light rain
285,Lakota,CI,5.8528,-5.6883,73.98,95,37,3.71,scattered clouds
286,Ibra,OM,22.6906,58.5334,77.22,36,0,3.94,clear sky
287,Sola,VU,-13.8833,167.55,81.59,77,76,17.16,broken clouds
288,Kuruman,ZA,-27.4524,23.4325,50.0,15,2,12.44,clear sky
289,Teya,RU,60.3778,92.6267,33.31,96,75,3.94,broken clouds
290,Acapulco,MX,16.8634,-99.8901,86.05,70,43,7.94,scattered clouds
291,Cabedelo,BR,-6.9811,-34.8339,81.27,73,66,13.49,broken clouds
292,Zhaozhou,CN,45.6833,125.3167,32.99,94,100,7.58,light snow
293,Canutama,BR,-6.5339,-64.3831,76.93,93,100,4.03,overcast clouds
294,Jonava,LT,55.0833,24.2833,46.45,88,75,4.0,broken clouds
295,Arrecife,ES,28.963,-13.5477,75.18,83,0,6.91,clear sky
296,Winnemucca,US,40.973,-117.7357,71.65,10,1,13.8,clear sky
297,Maputo,MZ,-25.9653,32.5892,64.08,93,90,8.99,light rain
298,Te Anau,NZ,-45.4167,167.7167,48.63,95,100,0.98,overcast clouds
299,Goderich,CA,43.7501,-81.7165,58.91,60,27,21.85,scattered clouds
300,Boende,CD,-0.2167,20.8667,71.53,98,100,1.57,overcast clouds
301,Shubarshi,KZ,48.5872,57.1869,50.47,36,92,8.9,overcast clouds
302,Bereda,ES,43.2686,-7.5406,67.01,79,100,2.73,overcast clouds
303,Okato,NZ,-39.2,173.8833,60.42,95,39,12.35,scattered clouds
304,Poum,NC,-20.2333,164.0167,75.56,83,99,7.16,overcast clouds
305,Evensk,RU,61.95,159.2333,12.65,74,100,17.22,overcast clouds
306,Port Blair,IN,11.6667,92.75,80.29,85,100,7.18,overcast clouds
307,Bambous Virieux,MU,-20.3428,57.7575,73.22,75,45,16.64,scattered clouds
308,Lavrentiya,RU,65.5833,-171.0,24.31,74,66,13.42,broken clouds
309,Bajos De Haina,DO,18.4154,-70.0332,89.53,72,40,11.5,scattered clouds
310,Komsomolskiy,UZ,40.4272,71.7189,51.22,30,100,1.88,overcast clouds
311,Makat,KZ,47.6469,53.3463,56.16,33,92,14.45,overcast clouds
312,Chandbali,IN,20.7833,86.7667,76.41,97,100,7.0,heavy intensity rain
313,Namtsy,RU,62.7161,129.6658,17.71,96,44,5.23,scattered clouds
314,Roald,NO,62.5833,6.1333,41.14,87,75,8.05,broken clouds
315,Skibbereen,IE,51.55,-9.2667,58.8,95,100,10.22,overcast clouds
316,Machali,CL,-34.1833,-70.6667,72.68,21,0,11.5,clear sky
317,Nara,JP,34.6851,135.8049,52.5,64,0,2.93,clear sky
318,Buala,SB,-8.145,159.5921,80.58,77,57,4.07,broken clouds
319,Ancud,CL,-41.8697,-73.8203,56.73,67,32,6.31,scattered clouds
320,Sturgis,US,41.7992,-85.4192,63.9,39,1,12.66,clear sky
321,Okhotsk,RU,59.3833,143.3,12.25,73,3,19.55,clear sky
322,Aqtobe,KZ,50.2797,57.2072,41.09,52,0,6.71,clear sky
323,Namatanai,PG,-3.6667,152.4333,79.99,78,90,7.49,overcast clouds
324,Ixtapa,MX,20.7,-105.2,88.83,62,1,10.36,clear sky
325,Klyuchi,RU,52.2667,79.1667,38.19,70,2,4.74,clear sky
326,Cilegon,ID,-6.0174,106.0538,78.69,78,100,6.51,overcast clouds
327,Senador Jose Porfirio,BR,-2.5908,-51.9542,88.47,55,75,3.89,broken clouds
328,Itupiranga,BR,-5.1347,-49.3267,93.52,50,95,5.01,overcast clouds
329,Paamiut,GL,61.994,-49.6678,34.84,51,0,4.65,clear sky
330,Boguchany,RU,58.3814,97.4531,31.14,94,41,2.71,scattered clouds
331,Estelle,US,29.8458,-90.1067,75.99,40,1,4.0,clear sky
332,Marrakesh,MA,31.6315,-8.0083,82.47,24,0,3.44,clear sky
333,Narva-Joesuu,EE,59.4589,28.0408,42.58,69,71,17.52,broken clouds
334,Saint-Georges,GD,12.0564,-61.7485,84.58,73,15,11.45,few clouds
335,Gasa,PS,31.5,34.4667,73.9,64,48,4.76,scattered clouds
336,Bouar,CF,5.934,15.596,67.68,93,100,2.35,overcast clouds
337,Constitucion,CL,-35.3333,-72.4167,61.5,60,1,17.69,clear sky
338,Marzuq,YE,14.4,46.4667,76.82,39,100,3.4,overcast clouds
339,Sao Joao Do Piaui,BR,-8.3581,-42.2467,98.33,20,100,10.94,overcast clouds
340,Roebourne,AU,-20.7833,117.1333,69.15,61,7,10.8,clear sky
341,Asmara,ER,15.3333,38.9333,59.94,23,6,5.39,clear sky
342,Boddam,GB,57.4667,-1.7833,53.98,95,100,17.87,overcast clouds
343,Guerrero Negro,MX,27.9769,-114.0611,78.13,39,100,7.65,overcast clouds
344,Marsa Matruh,EG,31.3525,27.2453,70.77,63,0,9.69,clear sky
