City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Faridkot,IN,73.06,overcast clouds,30.6667,74.75,
222,Half Moon Bay,US,78.21,overcast clouds,37.4636,-122.4286,
223,Mineiros,BR,81.64,overcast clouds,-17.5694,-52.5511,
224,Porecatu,BR,73.47,overcast clouds,-22.7558,-51.3792,
225,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,
226,Mogadishu,SO,79.09,scattered clouds,2.0371,45.3438,
227,Camopi,GF,76.35,overcast clouds,3.1655,-52.3158,
228,Cockburn Town,TC,82.85,scattered clouds,21.4612,-71.1419,
229,Wau,SS,75.38,broken clouds,7.7029,27.9953,
231,Esna,EG,84.15,clear sky,25.2934,32.554,
234,Ambilobe,MG,74.59,clear sky,-13.2,49.05,
242,Pacifica,US,78.03,broken clouds,37.6138,-122.4869,
245,Zhuhai,CN,71.98,scattered clouds,22.2769,113.5678,
246,Cuamba,MZ,79.97,scattered clouds,-14.8031,36.5372,
249,Santa Marta,CO,81.1,overcast clouds,11.2408,-74.199,
252,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,
257,Cururupu,BR,83.53,scattered clouds,-1.8283,-44.8683,
258,La Verne,US,83.64,clear sky,34.1008,-117.7678,
262,Riyadh,SA,82.44,clear sky,24.6877,46.7219,
265,San Juan,AR,76.78,clear sky,-31.5375,-68.5364,
266,Sao Felix Do Xingu,BR,81.0,overcast clouds,-6.6447,-51.995,
268,Kpandu,GH,77.22,light rain,6.9954,0.2931,
269,Maningrida,AU,76.14,overcast clouds,-12.0667,134.2667,
271,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,
279,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,
280,Kikwit,CD,72.93,light rain,-5.041,18.8162,
281,Mitu,CO,83.62,overcast clouds,1.1983,-70.1733,
285,Lakota,CI,73.98,scattered clouds,5.8528,-5.6883,
286,Ibra,OM,77.22,clear sky,22.6906,58.5334,
287,Sola,VU,81.59,broken clouds,-13.8833,167.55,
290,Acapulco,MX,86.05,scattered clouds,16.8634,-99.8901,
291,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,
293,Canutama,BR,76.93,overcast clouds,-6.5339,-64.3831,
295,Arrecife,ES,75.18,clear sky,28.963,-13.5477,
296,Winnemucca,US,71.65,clear sky,40.973,-117.7357,
300,Boende,CD,71.53,overcast clouds,-0.2167,20.8667,
304,Poum,NC,75.56,overcast clouds,-20.2333,164.0167,
